ID,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Ground Truth Word,Ground Truth Label
real_47_of_50,employees,business,people,work,working,heisman-winning,heisman-winning,Word 6
real_48_of_50,bank,european,central,banks,financial,bp-husky,bp-husky,Word 6
real_49_of_50,video,media,sickle,twitter,photo,posted,sickle,Word 3
real_50_of_50,announced,company,chief,sunday,today,executive,sunday,Word 4
real_1_of_100,baseball,season,major,league,team,-yeartreasury,-yeartreasury,Word 6
real_2_of_100,ago,slive's,years,past,year,months,slive's,Word 2
real_3_of_100,coach,team,mike,staff,head,ghostbus,ghostbus,Word 6
real_4_of_100,cup,aucklanders,match,australia,world,zealand,aucklanders,Word 2
real_5_of_100,six-rbi,chance,long,short,made,time,six-rbi,Word 1
real_6_of_100,california,town,city,tolliver,park,area,tolliver,Word 4
real_7_of_100,oxlade-chamberlain,great,things,lot,good,pretty,oxlade-chamberlain,Word 1
real_8_of_100,shareholders,annual,board,meeting,held,ratedrelease,ratedrelease,Word 6
real_9_of_100,affinity,official,college,coverage,cbssports.com,network,affinity,Word 1
real_10_of_100,information,including,security,live,media,social,live,Word 4
real_11_of_100,trading,market,exchange,cosmonaut's,stock,markets,cosmonaut's,Word 4
real_12_of_100,blue,pittsburgh-x,giants,san,francisco,series,pittsburgh-x,Word 2
real_13_of_100,starting,season,lineup,game,admd,games,admd,Word 5
real_14_of_100,innings,allowed,hits,era,monday.clippard,runs,monday.clippard,Word 5
real_15_of_100,film,khan,debonair,ians,actor,bollywood,debonair,Word 3
real_16_of_100,reported,company,share,loss,million,indo-bangladesh,indo-bangladesh,Word 6
real_17_of_100,draft,out-qualifying,nfl,jets,quarterback,pick,out-qualifying,Word 2
real_18_of_100,reuters,trigo's,chinese,source,china,million,trigo's,Word 2
real_19_of_100,cap,million,deal,signed,contract,walmart.com,walmart.com,Word 6
real_20_of_100,health,development,industry,kagabo,companies,business,kagabo,Word 4
real_21_of_100,friday,morning,time,monday,phillies,hettie,hettie,Word 6
real_22_of_100,car,cars,martin,apple,cusp,watch,cusp,Word 5
real_23_of_100,dramedy,music,singer,justin,taylor,stage,dramedy,Word 1
real_24_of_100,price,fbiox-o,report,buy,target,analyst,fbiox-o,Word 2
real_25_of_100,carosa,future,change,important,d,people,carosa,Word 1
real_26_of_100,mlab,work,makes,make,time,making,mlab,Word 1
real_27_of_100,bank,dollar,cut,u.s,aires,currency,aires,Word 5
real_28_of_100,wednesday,young,night,flabbergasted,big,morning,flabbergasted,Word 4
real_29_of_100,disney,star,age,movie,wars,badawi,badawi,Word 6
real_30_of_100,million,billion,year,profit,percent,nasdaq-listed,nasdaq-listed,Word 6
real_31_of_100,cut,willfully,plan,employees,plans,jobs,willfully,Word 2
real_32_of_100,mets,spring,cubs,sox,red,beychok,beychok,Word 6
real_33_of_100,shortcake,twitter,photo,instagram,cover,posted,shortcake,Word 1
real_34_of_100,fell,companies,percent,top,shares,mckenzies,mckenzies,Word 6
real_35_of_100,milkshake,drama,series,finale,season,episode,milkshake,Word 1
real_36_of_100,reports,los,segmen,direction,today,angeles,segmen,Word 3
real_37_of_100,late,host,talk,daily,td.to,show,td.to,Word 5
real_38_of_100,thursday,air,united,dimson,states,international,dimson,Word 4
real_39_of_100,live,leland,video,shows,full,watch,leland,Word 2
real_40_of_100,january,showed,growth,data,month,aapl.sw,aapl.sw,Word 6
real_41_of_100,begging,carpet,white,looked,red,black,begging,Word 1
real_42_of_100,reserve,bookmyshow,rate,interest,federal,rates,bookmyshow,Word 2
real_43_of_100,network,customers,service,uponus,time,cable,uponus,Word 4
real_44_of_100,ceo,rotation.gee,chief,officer,executive,president,rotation.gee,Word 2
real_45_of_100,crore,indian,laspesa,india,rs,government,laspesa,Word 3
real_46_of_100,club,side,half,goal,millican,lead,millican,Word 5
real_47_of_100,eds,group,stake,buy,billion,company,eds,Word 1
real_48_of_100,hardl,june,thursday,open,march,april,hardl,Word 1
real_49_of_100,seahawks,bowl,patriots,england,super,jammal,jammal,Word 6
real_50_of_100,south,east,west,north,america,unassisted,unassisted,Word 6
real_51_of_100,management,unta,investors,fund,investment,capital,unta,Word 2
real_52_of_100,revving,rating,moody's,credit,cash,risk,revving,Word 1
real_53_of_100,houston,thirsting,family,brown,life,found,thirsting,Word 2
real_54_of_100,business,online,white-and-gold,company,companies,tech,white-and-gold,Word 3
real_55_of_100,tight,greenshell,season,end,back,year,greenshell,Word 2
real_56_of_100,food,store,esquina,retail,stores,sales,esquina,Word 3
real_57_of_100,bank,financial,banking,capital,banks,india,india,Word 6
real_58_of_100,latest,livestream,news,nbc,williams,brian,livestream,Word 2
real_59_of_100,story,chitra,movie,film,festival,director,chitra,Word 2
real_60_of_100,nfl,offensive,draft,defensive,llbs,line,llbs,Word 5
real_61_of_100,results,dollar-based,announced,conference,company,today,dollar-based,Word 2
real_62_of_100,oscar,rosanna,won,academy,awards,award,rosanna,Word 2
real_63_of_100,wife,son,-year-old,monarch's,actress,star,monarch's,Word 4
real_64_of_100,quarter,results,kear,revenue,sales,earnings,kear,Word 3
real_65_of_100,biggest,day,coal-fire,industry,shares,big,coal-fire,Word 3
real_66_of_100,conference,state,tournament,team,wunderlich,big,wunderlich,Word 5
real_67_of_100,top,jeremy,gear,show,bbc,value-i,value-i,Word 6
real_68_of_100,made,told,make,decision,asked,gogogo,gogogo,Word 6
real_69_of_100,pick,o-linemen,round,draft,nfl,eagles,o-linemen,Word 2
real_70_of_100,jimmy,royals,fun,man,people,life,royals,Word 2
real_71_of_100,injury,tests-results,left,list,return,surgery,tests-results,Word 2
real_72_of_100,real,building,home,estate,eckert,property,eckert,Word 5
real_73_of_100,free,running,cowboys,agency,adarsh,agent,adarsh,Word 5
real_74_of_100,york,st,city,proliferation,kansas,cardinals,proliferation,Word 4
real_75_of_100,x,simon,croswell,revealed,e,show,croswell,Word 3
real_76_of_100,attendante,season,roster,smith,team,players,attendante,Word 1
real_77_of_100,won,beards,race,team,world,champion,beards,Word 2
real_78_of_100,night,season,team,play,game,power-equipment,power-equipment,Word 6
real_79_of_100,long,iron,back,voz,andrew,face,voz,Word 4
real_80_of_100,s&amp;p,index,points,stocks,percent,seni,seni,Word 6
real_81_of_100,scoop,s,chris,return,paul,david,scoop,Word 1
real_82_of_100,paramus,class,state,football,school,national,paramus,Word 1
real_83_of_100,career,th,men,mcgarty,made,history,mcgarty,Word 4
real_84_of_100,falcons,favorite,fan,fans,late,seamless,seamless,Word 6
real_85_of_100,night,stars,th,event,commenced.an,party,commenced.an,Word 5
real_86_of_100,-kg,high,friday,record,week,hit,-kg,Word 1
real_87_of_100,oil,prices,june-july,production,power,energy,june-july,Word 3
real_88_of_100,today,shares,share,company,doused,announced,doused,Word 5
real_89_of_100,bs,business,services,company,technology,data,bs,Word 1
real_90_of_100,thomas,boukari,road,back,play,miller,boukari,Word 2
real_91_of_100,case,commission,verso,filed,court,law,verso,Word 3
real_92_of_100,box,james,jinda,weekend,johnson,office,jinda,Word 3
real_93_of_100,range,brendler,support,moving,performance,point,brendler,Word 2
real_94_of_100,told,people,street,wall,glenallen,sources,glenallen,Word 5
real_95_of_100,week,joost,tonight,sign,tv,part,joost,Word 2
real_96_of_100,hit,home,wrinkle,run,runs,inning,wrinkle,Word 3
real_97_of_100,flees,number,system,transactions,card,money,flees,Word 1
real_98_of_100,euro,central,debt,greece,pensioner,european,pensioner,Word 5
real_99_of_100,tigers,start,monday,opening,day,fccb,fccb,Word 6
real_100_of_100,uk,fadel,group,london,british,tax,fadel,Word 2
random_1,man,couple,london's,risk,events,jones,WHOCARES,Word 3
random_2,tangible,night,attended,episode,shopping,commercial,WHOCARES,Word 3
random_3,london,los,allocation,50,27,well-cooked,WHOCARES,Word 3
random_4,leave,close,scene,week,lock,asher,WHOCARES,Word 3
random_5,year,2015,outlook,private,top,pitched,WHOCARES,Word 3
random_6,cowboys,title,apparent,cnn,dupree,back-rower,WHOCARES,Word 3
random_7,land,"19,471.12",drug,ii,cervelli,spot,WHOCARES,Word 3
random_8,setback,featured,l.a,players,step,audited,WHOCARES,Word 3
random_9,images,0.4,annual,top,t,million,WHOCARES,Word 3
random_10,main,sweeney,kamal,nfl,meeting,discussing,WHOCARES,Word 3
random_11,continental,home,order,eased,fall,revenue,WHOCARES,Word 3
random_12,corporate,hitting,listings,comprehensive,tsipras,outright,WHOCARES,Word 3
random_13,nfl,carried,game,jacket,levels,named,WHOCARES,Word 3
random_14,roe,sides,thinking,percent,request,pared,WHOCARES,Word 3
random_15,saves,likes,people,11.72,sustain,news,WHOCARES,Word 3
random_16,turn,star,season,470,smith,athletics,WHOCARES,Word 3
random_17,array,mini-series,houston,attend,mining,deputy,WHOCARES,Word 3
random_18,kover,ago,scott,rita,east,roster,WHOCARES,Word 3
random_19,monday,means,2021,batting,california,atlanta,WHOCARES,Word 3
random_20,rose,december,bhatt,lorgat,anthony,wood,WHOCARES,Word 3
random_21,clark,company,start,experience,home)save,palace,WHOCARES,Word 3
random_22,predicted,stocks,republic,1.2,depth,alix,WHOCARES,Word 3
random_23,league,diego,keeping,money,past,contracts,WHOCARES,Word 3
random_24,josh,season,months,gfk's,city,arya,WHOCARES,Word 3
random_25,pet,loss,india,chronicle,language,offensive,WHOCARES,Word 3
sane_1,defensive,patriots,player,country,free,game,country,Word 4
sane_2,year,line,round,free,running,property,property,Word 6
sane_3,defensive,win,league,green,business,season,business,Word 5
sane_4,executive,tom,draft,runs,green,deal,executive,Word 1
sane_5,round,field,combine,production,nfl,brady,production,Word 4
sane_6,company,field,wilson,tom,coach,brady,company,Word 1
sane_7,defensive,runs,team,mock,country,draft,country,Word 5
sane_8,sales,bowl,nfl,selected,patriots,game,sales,Word 1
sane_9,team,baseball,defensive,players,company,round,company,Word 5
sane_10,innings,game,bowl,player,building,defensive,building,Word 5
sane_11,back,game,picks,brady,top,sales,sales,Word 6
sane_12,back,operations,league,draft,player,selected,operations,Word 2
sane_13,service,run,russell,home,pick,defensive,service,Word 1
sane_14,draft,executive,nfl,team,seahawks,nfl,executive,Word 2
sane_15,line,win,team,round,technology,home,technology,Word 5
sane_16,brady,manager,pick,operations,season,defensive,operations,Word 4
sane_17,patriots,running,wide,building,deal,year,building,Word 4
sane_18,combine,provide,draft,season,nfl,nfl,provide,Word 2
sane_19,combine,draft,game,seahawks,innings,company,company,Word 6
sane_20,bowl,baseball,manager,technology,game,running,technology,Word 4
sane_21,food,green,team,coach,nfl,round,food,Word 1
sane_22,play,ceo,running,player,deal,round,ceo,Word 2
sane_23,innings,field,plans,pick,tom,pick,plans,Word 3
sane_24,wilson,provide,bill,round,contract,super,provide,Word 2
sane_25,china,run,play,league,quarterback,picks,china,Word 1
